Predictor,β,SE,t,p-value,VIF,VIF flagged
word_count,-0.050,0.011,-4.33,0.0000,4.90,No
avg_sent_len,0.070,0.010,6.73,0.0000,3.97,No
avg_word_len,0.032,0.006,5.58,0.0000,1.24,No
dep_depth,0.077,0.008,10.19,0.0000,2.10,No
clause_count,-0.017,0.008,-2.14,0.0322,2.47,No
ttr,0.055,0.007,7.85,0.0000,1.84,No
content_word_prop,-0.038,0.009,-3.98,0.0001,3.36,No
propn_prop,-0.064,0.010,-6.27,0.0000,3.83,No
noun_overlap,0.187,0.006,30.81,0.0000,1.38,No
verb_overlap,0.033,0.006,5.57,0.0000,1.31,No
adj_overlap,0.049,0.006,8.37,0.0000,1.25,No
propn_overlap,0.276,0.006,47.76,0.0000,1.25,No
src_guardian,-0.043,0.006,-7.26,0.0000,1.30,No
cat_entertainment_culture,-0.130,0.007,-18.34,0.0000,1.88,No
cat_politics_government,-0.038,0.007,-5.62,0.0000,1.74,No
cat_science_technology,-0.057,0.007,-8.27,0.0000,1.75,No
cat_sport,0.006,0.007,0.88,0.3813,1.76,No
cat_world_society,-0.101,0.007,-14.10,0.0000,1.91,No
